,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
107,1.4582585,128.0,-0.41271964,1.00866,21.697718,-40.810314
108,0.30732486,311.0,-1.6716707,0.11942882,21.700163,-38.037766
110,0.42660037,140.0,-0.47541055,3.5794399,22.10217,-64.52555
111,0.23373464,459.0,-0.42207384,0.20108171,22.18084,-21.44498
112,3.8673806,106.0,-0.39458746,3.083119,22.597427,26.135088
114,0.8318742,196.0,-0.5583941,0.6978811,22.671988,-38.102936
115,0.5952951,155.0,-0.8608339,1.5241408,22.728708,-5.8959994
116,0.6931832,303.0,-0.7878079,0.59478205,22.801893,-12.183013
117,4.2949004,152.0,-1.077158,0.17703024,22.83144,4.259095
118,0.17354046,230.0,-0.80525887,1.0962704,22.88973,-34.550697
120,1.3591694,152.0,-0.26194176,2.4325633,23.180906,-16.912376
121,0.4880971,108.0,-0.54183877,2.9248114,23.21703,-35.285892
122,1.1009405,198.0,-1.3563902,0.20756704,23.337147,4.989055
123,0.5031164,214.0,-0.6647101,0.65838695,23.621115,-34.90497
124,0.8920465,850.0,-0.11875047,0.226825,23.905832,-20.145687
125,0.48448354,169.0,-0.4375538,1.7330366,23.916773,-67.87497
126,0.4249944,127.0,-0.37725532,3.6685622,24.029425,-41.371426
127,0.24489856,261.0,-1.2933321,0.28534183,24.658556,3.2152686
128,1.0053334,154.0,-1.0493567,0.6094608,24.83265,-12.794925
129,4.335661,124.0,-0.7887441,0.6326436,25.054224,-9.948584
130,0.23664448,250.0,-0.96687526,0.42238995,25.162151,-30.283808
131,1.0921907,118.0,-0.87247604,2.371175,25.47236,-54.56938
132,0.47450373,165.0,-0.21145469,3.4705462,26.308863,-21.63508
133,3.9279616,118.0,-1.0303472,0.21926421,26.719816,-1.956871
134,1.472138,739.0,-0.36508662,0.41290495,27.119823,10.470955
135,0.22959335,435.0,-1.1571054,0.76098156,27.214663,-38.657352
137,1.4821712,102.0,-0.90659916,0.08053774,27.27306,17.932346
139,0.70538926,539.0,-0.19042829,0.566356,27.79639,27.01603
140,0.17224453,254.0,-1.0786445,1.7406381,27.98765,-14.022077
141,0.34385148,286.0,-0.6927754,1.3750427,28.01586,2.5489535
142,2.4543583,108.0,-0.39139956,3.2663283,28.074184,22.11753
143,1.0073239,139.0,-1.0369428,1.0444896,28.569788,-16.76722
144,0.7260862,206.0,-0.4456499,1.8304055,28.690554,-23.497309
145,0.4632319,207.0,-0.93087876,0.35484025,28.92856,14.373464
146,2.442082,140.0,-0.78327835,0.48862094,29.012049,-5.0572014
147,0.21356492,283.0,-0.8162678,1.1664865,29.24732,-47.955067
148,0.45335227,323.0,-0.53428006,0.6058342,29.341766,-54.375538
149,1.2561765,120.0,-0.58476377,1.3636976,29.43166,-18.41624
150,0.5458443,417.0,-0.6787175,0.36792755,29.44156,11.466531
151,0.7376574,161.0,-0.52707225,0.08504374,29.947252,-19.036863
152,4.1701827,142.0,-0.56959087,2.4196188,29.966646,-74.515205
153,1.6499734,249.0,-0.71421796,0.26844236,30.030535,21.949812
154,1.8676009,116.0,-0.8258941,2.958601,30.212578,28.259169
155,1.0012128,122.0,-0.8261065,0.4834901,30.866123,-24.013023
156,1.2612039,267.0,-0.7872128,1.3849605,30.883705,-21.228376
157,0.31368938,253.0,-1.0605325,0.473219,31.03449,-47.82694
158,1.381365,152.0,-0.37858543,1.9893452,31.279955,-11.156307
159,0.66412216,217.0,-0.8007287,0.81386614,31.288607,8.408359
160,0.26479065,363.0,-0.8280441,0.32963365,31.44053,-65.831
161,0.41643214,415.0,-0.29629162,0.73447096,31.561512,-65.96045
162,0.46673882,191.0,-0.32460842,1.9077703,31.749039,-40.239677
163,1.943619,846.0,-0.053672716,0.806884,31.753738,12.546331
164,0.3887978,163.0,-1.4032967,0.6048673,31.87693,-60.92426
165,0.1712827,202.0,-0.9736823,2.5001569,32.228874,-13.470802
167,0.5772876,219.0,-0.53227174,1.9406952,32.48039,-51.39534
168,0.7349612,100.0,-0.57691556,1.5724965,32.640125,-17.560253
169,0.8135754,470.0,-1.0502247,1.0936897,32.653893,8.205258
170,0.57436854,469.0,-1.0371007,0.927106,32.804672,10.858222
171,0.30525923,178.0,-0.8724779,1.4399397,33.19541,-30.915041
172,2.8456354,101.0,-0.8936534,0.25917837,33.40054,5.7955923
173,0.3654912,147.0,-0.55173165,0.9510062,33.81976,-32.72718
174,0.39246222,120.0,-1.0182838,1.7062085,33.887306,-28.754251
175,2.2198513,263.0,-0.8360842,1.7427788,34.093876,-30.159258
176,0.8704842,363.0,-1.6078387,1.0896208,34.59621,4.602104
177,0.9507723,271.0,-0.31208223,2.2388341,34.923183,-68.105194
179,0.71750337,351.0,-0.91257185,0.9003221,35.288803,-0.43075225
180,0.2966841,171.0,-0.68211526,1.9121897,35.411957,-26.69094
181,0.20961091,255.0,-0.9450562,0.39004567,35.916862,-23.723547
182,0.4154893,193.0,-0.6247225,1.6516185,35.950935,-53.52087
183,1.5924608,114.0,-0.8197554,0.43762043,35.976818,-14.185934
184,0.38087162,362.0,-1.4557123,0.7499848,36.02844,-37.41483
185,1.6618012,113.0,-0.5784554,2.416749,36.37246,-24.353848
186,0.35315436,227.0,-0.94773024,1.0554198,36.68805,15.909393
187,0.72282845,450.0,-0.7231894,0.6815565,36.935013,-6.3517976
188,0.5818254,168.0,-1.2379657,0.5886515,36.95788,-21.349585
189,0.61655694,148.0,-0.25196955,2.2193146,37.157417,-52.24939
191,0.9913784,170.0,-0.23476286,2.3255227,37.315296,-61.00096
192,0.2774405,199.0,-1.0407157,0.45189518,37.604156,-29.524302
193,0.4030228,121.0,-0.6859382,2.835742,37.640194,-22.2675
194,0.7317244,114.0,-0.512796,1.7070998,37.70457,-43.020855
195,0.39275005,479.0,-0.40029806,0.28493434,37.879112,18.853043
196,1.187193,147.0,-0.96528006,1.6107614,37.95944,-55.633923
197,0.3324505,272.0,-0.56768614,3.512593,37.998936,-4.5646014
199,0.27192175,314.0,-0.34260687,3.6269495,38.819397,-1.014376
200,2.2101696,179.0,-0.51628244,1.5044242,39.081615,-37.758167
202,0.97309464,129.0,-0.49217477,0.008125961,40.16671,-37.019283
204,1.042166,143.0,-0.67918897,0.6007972,40.43796,12.885876
205,0.2939734,406.0,-1.4334694,0.5602145,40.45709,-14.975101
206,1.0951786,402.0,-1.3034086,0.8706356,40.504574,12.811049
207,0.7559065,126.0,-0.6170307,1.7828907,40.608074,-30.651503
208,0.4110688,203.0,-1.7221876,1.5205747,40.735138,21.249264
209,0.3560916,553.0,-0.06673337,0.87461215,40.767162,-10.006429
211,0.9201796,103.0,-0.61285377,0.0030880424,41.10541,-21.893585
212,0.91691136,215.0,-0.5070151,1.4601113,41.23037,-61.957775
213,0.48423404,452.0,-1.2325336,1.7202747,41.234173,-18.378988
214,2.2635183,145.0,-0.79962766,0.94102365,41.37647,-69.1281
215,0.45968968,232.0,-0.52708703,1.6502565,42.15877,-32.22688
216,0.38804236,426.0,-0.06667059,1.3075602,42.27091,-50.418846
217,0.36237514,435.0,-0.8263574,0.19550507,43.038303,15.121182
219,15.809629,244.0,-0.8068658,1.2529416,43.191196,-71.07633
220,1.1782172,126.0,-0.294052,2.315718,43.495407,-54.968212
224,1.6615349,348.0,-1.2960273,0.78919935,44.595356,1.4559427
225,0.87433237,275.0,-1.5014096,0.1477731,44.766117,4.2703
226,0.31911966,318.0,-1.0834042,1.3482476,44.855217,-11.435157
227,0.6431933,128.0,-0.50958127,1.8222697,45.11493,-49.98445
229,0.21361892,343.0,-0.39093265,1.6930181,45.45401,-55.995663
230,0.30252358,310.0,-0.93551475,0.5171468,45.653107,-10.475423
231,0.3316633,399.0,-1.5649776,0.9126849,45.76127,-20.561193
232,0.49446884,298.0,-1.1327188,1.1501224,45.78716,-6.582302
233,0.506607,281.0,-1.2218513,0.7795874,46.419277,-75.86144
234,0.23871884,454.0,-0.5136893,0.4055182,46.52502,-23.022228
236,0.68416405,108.0,-0.51948166,1.1910702,48.615364,-71.51046
237,0.57740235,516.0,-0.052802246,0.37002438,48.6586,-15.962693
238,0.7097009,298.0,-0.8803677,0.7245914,48.830452,-55.8461
239,0.22111428,241.0,-0.6746461,1.6269721,49.004784,-25.099546
