,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
446,0.50124675,284.0,-0.4576571,1.8999485,100.03329,-19.158197
448,0.7052825,144.0,-0.46717358,2.708483,100.4126,-24.871447
449,0.5521282,147.0,-1.2369106,0.35242102,100.97823,-20.978409
450,0.594333,101.0,-0.73943317,2.385261,101.08894,-35.697517
451,1.3648397,139.0,-0.32742068,1.5807487,101.70258,-64.39555
452,0.62240833,228.0,-0.76869166,0.91312474,101.87582,-66.446495
453,0.34729987,344.0,-1.1645708,1.9477495,101.94496,-21.825634
454,1.1323057,165.0,-0.5779683,2.3655825,102.15736,-71.30748
455,4.1468377,311.0,-0.41664907,1.7022958,102.20284,-47.57394
456,0.87509143,133.0,-0.27182868,1.9449979,102.47227,-40.64134
457,1.05954,305.0,-1.4865242,0.32405162,102.63748,-67.80676
458,0.44895145,176.0,-1.0400586,0.92168474,103.11922,-25.833317
459,0.6649007,118.0,-0.6151092,2.6335888,103.25074,-41.717236
460,0.16527505,254.0,-0.40792626,2.137195,103.29457,-27.073673
462,0.8556781,136.0,-0.44612092,0.9308997,103.6058,-27.225376
463,0.21185593,329.0,-0.84251934,1.4497857,104.13753,-41.875336
464,0.4867051,204.0,-0.93544996,0.33546305,104.23378,-47.265106
465,0.29940143,299.0,-0.16896503,2.076267,104.26087,-40.339054
466,0.53143674,160.0,-0.4695269,2.2135308,104.46227,-50.681618
467,3.4547088,106.0,-0.91307837,1.0413224,104.90798,21.295237
468,0.7147835,426.0,-0.92797935,0.9349994,105.12332,19.093822
469,0.679844,145.0,-0.36580926,3.717255,105.36972,-58.117737
470,1.1367836,105.0,-0.8295398,1.9477048,105.91431,-53.938423
471,0.23708916,392.0,-0.68522197,0.9148518,106.93962,-30.556126
472,1.5198116,134.0,-0.3275702,3.1651309,108.80524,-66.46455
473,1.3134114,267.0,-0.6895695,1.3726293,110.09191,-68.35627
474,1.938399,394.0,-1.5942645,0.8404254,110.48366,-39.07228
475,1.0248561,645.0,-0.45481518,0.20076732,110.80511,10.023695
476,0.73859185,143.0,-0.60840136,2.5796351,110.95184,-63.533108
477,0.30244637,390.0,-1.5732381,1.2295406,111.31087,-57.338017
478,0.86364716,430.0,-1.3308505,1.5062233,112.13373,5.9910617
479,0.3470245,197.0,-0.6070896,2.9407904,113.23743,15.247297
480,1.4568644,268.0,-0.60563123,0.4808271,114.00024,23.683903
481,1.3869367,220.0,-0.3565479,3.2,115.54836,-67.55256
482,1.6294314,105.0,-1.25257,0.075499974,115.98975,-3.393756
483,0.6100593,472.0,-0.4152228,0.23483469,117.65305,12.703382
484,1.3579956,160.0,-0.4256666,2.3658328,117.92368,27.275381
485,0.85140514,255.0,-0.5460588,1.1661512,118.7281,-48.74144
487,0.6137335,152.0,-0.60656303,1.623865,120.39262,-5.082227
488,0.36910537,467.0,-1.0546825,0.69806147,120.91196,-8.089201
489,1.2115568,448.0,-2.2946458,0.38389918,121.59853,-62.757668
490,0.4172749,521.0,-1.9337485,0.83573633,122.2525,-3.1947024
491,0.9538449,120.0,-0.4204951,1.923262,122.38497,-70.70011
492,1.609479,358.0,-1.0122983,0.5251343,122.7721,4.338336
493,0.58770984,210.0,-0.47503823,1.0099602,123.78314,-68.219795
494,0.17650549,266.0,-1.0951829,1.4920235,124.09884,-65.88417
495,0.4064115,248.0,-1.1227145,2.269565,124.17042,-2.2963428
496,0.20941089,300.0,-1.6857864,0.8456932,124.24281,7.6003065
498,1.1988524,101.0,-1.0628321,0.536714,124.49673,-79.457466
499,0.7030772,195.0,-0.46920693,1.6644557,124.66354,7.700728
500,1.1034417,137.0,-1.9393903,0.0043960623,125.11584,-64.64516
502,0.16296318,209.0,-1.4518152,1.5328541,125.86337,20.661278
503,0.76886743,127.0,-0.38782358,2.361382,126.18478,-10.495683
504,0.41490927,294.0,-0.9382745,1.5779592,126.45862,13.93041
505,1.5276787,104.0,-1.0182004,0.7588498,126.90756,-17.005672
506,0.30800444,198.0,-1.0217911,1.6504577,127.00461,-14.829948
507,1.0731994,417.0,-0.36776248,2.1914914,127.06866,16.223654
508,0.22808026,249.0,-0.50220776,1.8113458,127.35841,1.1171514
509,1.308626,452.0,-0.3956577,0.86641747,127.58764,23.392344
510,0.75916827,475.0,-0.82483053,0.7354528,127.65834,-2.712266
511,0.9195566,125.0,-1.1947318,1.8354267,127.96906,8.854298
512,0.38149315,303.0,-0.93732774,1.6721815,128.23468,-61.325153
513,2.1766863,186.0,-0.99924564,0.6143133,128.58267,17.310648
515,0.20848143,337.0,-0.25860256,2.7190304,128.92429,-20.157204
516,3.6523101,502.0,-1.2459937,0.7124056,129.1624,-20.282177
517,10.908077,450.0,-0.32902572,0.4511891,129.29558,-19.864666
518,1.0929433,110.0,-0.9345528,1.1741381,129.3854,-1.1903833
519,0.2537087,433.0,-0.6379861,0.74923015,129.82445,8.223888
520,0.4,103.0,-1.5191332,0.03946705,130.1766,-58.959923
522,0.17786944,236.0,-0.99369293,0.5144035,131.04727,-65.14304
523,0.3381867,182.0,-0.76192504,1.3217517,131.08002,-9.276227
524,0.80901104,129.0,-0.49819788,2.7702596,131.51553,-12.436577
525,0.6310482,228.0,-0.73452705,1.6741911,131.61743,-9.8964405
528,0.6803924,506.0,-0.3100856,0.6315514,132.54387,7.800303
529,1.2576544,323.0,-0.9622344,0.56979156,132.71529,-25.669785
530,0.27326733,234.0,-0.73723185,0.8418222,132.8924,-7.1531367
531,0.5213348,272.0,-1.1608357,0.16832389,133.03229,-8.070171
532,0.22764407,212.0,-0.3654477,1.4214988,133.34885,9.463277
533,0.27866727,371.0,-0.9321267,1.1905998,133.71516,-78.54306
535,0.30085957,261.0,-0.47969082,1.5354075,133.76463,-17.825518
536,0.39803013,194.0,-0.8905299,0.9311334,134.02684,11.654864
537,1.2582091,422.0,-0.88119715,1.4328179,134.08446,-29.444107
538,0.6314104,509.0,-1.8757687,0.8854302,134.25505,19.645945
539,0.32733825,372.0,-0.8988583,1.2836721,134.3495,3.2153666
540,1.0237844,692.0,-0.38761032,0.16667257,134.65964,9.629828
541,1.2446334,405.0,-0.34660572,2.5757654,134.96121,28.420591
542,1.633235,139.0,-0.8773468,0.4215435,135.78069,-20.26431
543,1.2604984,246.0,-0.7729001,1.4856863,135.90518,12.511134
544,0.34468558,186.0,-1.4743025,0.8518658,135.93257,-17.997385
547,1.6885144,158.0,-1.0844964,0.4736958,136.48967,15.129486
549,0.45835847,139.0,-0.64369154,1.2113357,136.97964,-18.739353
550,0.74284285,195.0,-0.7453248,0.92096025,137.2171,17.55246
551,0.57669336,228.0,-0.46130916,2.2504163,137.43427,-16.074999
552,1.4516156,132.0,-0.6679555,0.58267444,137.60727,-7.02777
553,0.34004208,162.0,-0.8547983,1.7415355,138.38608,-17.203976
554,2.3073192,400.0,-1.2634355,1.4735044,139.31758,11.226538
555,4.5525765,109.0,-0.80760086,0.6199818,140.04712,17.889458
557,0.74499,160.0,-1.4020427,0.34562102,141.08289,-22.027807
558,0.23430528,208.0,-0.6977311,2.1208496,141.24464,-25.836521
559,0.5924948,122.0,-0.5865158,2.5106223,141.75348,-33.604385
560,0.32263538,291.0,-0.4260591,1.4483826,141.78485,-67.06931
562,0.54484457,244.0,-1.0670683,1.0152706,142.1179,-27.283731
564,1.3425626,120.0,-0.56480956,2.3957276,142.55707,1.8196993
565,0.7364037,191.0,-0.917431,0.62735724,142.85309,-33.251354
567,0.6007728,138.0,-0.7705437,2.03915,143.26833,-19.82609
568,0.58045816,112.0,-0.5721408,3.9628787,143.3981,-10.158983
570,0.9978741,254.0,-0.924628,0.82853675,143.56723,6.852816
572,0.98120064,193.0,-0.8143552,1.1041601,143.64157,19.662
573,2.606322,518.0,-1.1018287,0.8523552,143.79839,-28.341806
574,0.80783606,187.0,-0.58598626,2.0410447,143.87328,-69.62531
575,0.38561997,190.0,-0.39224955,1.1193031,144.03404,-12.740925
576,0.9183499,600.0,-0.67009455,1.1348258,144.15771,26.773186
577,1.6025862,121.0,-0.6205968,1.4173087,144.72624,-11.053357
578,0.69015616,390.0,-0.84672195,0.49159697,144.9368,3.0721002
579,0.8002188,420.0,-0.42199177,0.21123248,145.04353,-24.455746
580,0.6958941,106.0,-1.3969845,0.36992148,145.35863,-11.205688
581,1.1226298,132.0,-0.6589224,2.7369,145.61966,-15.262197
582,0.8767835,110.0,-0.90148735,0.9976017,145.7146,-36.68595
583,3.2070377,434.0,-0.2554702,1.6667148,145.90482,-8.325689
584,0.86648333,544.0,-0.53555244,1.344889,146.01877,24.06428
585,0.34588805,207.0,-0.5033486,1.1096344,146.019,-20.281595
586,0.62782913,127.0,-0.87786186,1.6663421,146.02036,-24.73036
587,0.5574562,107.0,-0.92309785,3.3872483,146.02301,-37.586693
589,0.1832242,279.0,-0.5903043,1.5450257,146.74246,-18.299604
590,0.52283126,632.0,-0.78687423,0.9701937,147.49371,22.63841
591,2.3769197,576.0,-2.233817,1.1246762,147.54366,24.567066
592,0.48565617,163.0,-0.59883153,1.0978101,147.54434,-38.070404
593,0.69547474,170.0,-0.4178083,1.7697018,147.63129,-21.04596
594,0.754319,470.0,-1.9481452,1.1744565,147.69292,9.768961
595,0.30753818,333.0,-1.3602582,0.2848622,149.22734,-17.21464
597,0.2758285,202.0,-0.58529884,0.8872765,149.41667,-35.80421
599,1.3587849,112.0,-0.3826601,2.3490705,150.1898,-22.996115
600,0.6364012,123.0,-0.65946364,0.74278647,150.49733,-35.216396
601,0.91706043,240.0,-0.5179012,3.7,150.73666,-35.699284
602,1.6656291,130.0,-1.2551904,0.17252119,150.96796,10.950136
603,0.27498716,326.0,-0.44276464,1.384136,151.02298,-32.113194
604,1.0414194,417.0,-2.9711812,1.1467451,151.05408,26.178278
605,0.5876136,392.0,-0.60117936,1.5409472,151.1591,-22.57728
607,0.916962,117.0,-0.5729786,1.8797807,151.40048,-1.6359049
608,4.4295,240.0,-0.83885884,0.5685862,151.4876,-41.81379
609,0.51928127,282.0,-0.7908155,1.2669141,151.51778,-74.16211
610,4.005109,110.0,-0.7973673,2.253272,151.53311,-41.251842
611,0.97861034,154.0,-0.63688016,1.5595368,151.5874,-71.22668
612,0.17235456,236.0,-0.7546603,2.2679858,151.63582,-71.04299
613,0.9734982,191.0,-0.8816833,1.1549089,151.65306,-38.968533
614,0.29168558,622.0,-0.8602076,0.3630705,151.9975,18.130938
615,0.722953,115.0,-0.7329082,2.953519,152.59291,-3.1557176
616,0.42094105,133.0,-0.728745,3.2533262,153.57574,-27.43134
617,0.7898382,183.0,-0.58453053,1.5989169,153.95462,2.7261705
619,0.39407662,487.0,-0.42636412,0.80186284,154.05394,-27.411669
620,0.777595,125.0,-0.90762,1.0560542,154.65103,-9.530882
621,0.26422364,319.0,-0.65637726,2.4803917,155.4679,12.698784
625,0.6877249,519.0,-0.29579648,0.3434431,155.89151,10.201114
627,0.613751,151.0,-0.4732226,1.2099336,156.15146,-41.5341
629,0.8012514,146.0,-1.2068603,0.90731305,157.32967,0.9560456
630,0.38047564,495.0,-0.51460093,0.24081331,157.54855,11.60641
631,1.2456155,105.0,-0.66402686,1.6277633,157.84668,-41.729805
632,0.29980943,130.0,-1.1672174,2.7433426,157.89256,-16.489155
633,0.3240011,199.0,-0.31447512,3.8820267,157.91467,-3.5105915
635,0.7026249,105.0,-0.5890383,1.0538588,158.56015,-36.111305
636,1.0029643,199.0,-0.854294,0.90385026,158.58702,-21.563965
637,1.0752536,387.0,-0.3503918,0.3111879,159.07704,-26.213743
638,0.6883436,175.0,-0.5548828,0.49849442,159.13321,-25.889124
639,1.3296336,167.0,-0.9060203,0.31137624,159.26894,15.763331
640,0.94717324,135.0,-1.015231,0.30667135,159.46654,-3.2128117
641,0.76138484,131.0,-0.6038577,0.8747413,159.5719,-18.01503
642,6.6816907,257.0,-0.75421286,1.1284614,159.61723,-70.052864
643,4.595483,141.0,-1.1432905,0.59185207,159.7009,-4.520856
645,2.0243142,142.0,-0.69076127,2.6565561,160.1747,-35.71753
646,0.16813356,219.0,-0.51543194,1.3367959,160.26419,-23.465506
647,0.6508574,268.0,-0.7077713,1.7086054,160.41476,-26.18202
648,0.28035295,387.0,-1.3366424,0.5346295,160.97612,-10.139627
649,0.4000085,162.0,-0.66281664,2.8503456,160.98358,-10.651363
650,0.9083203,102.0,-0.41352075,0.058159456,161.04248,-22.237926
651,0.48076442,177.0,-0.9497813,1.5144978,161.08212,5.635883
652,0.44345498,430.0,-1.7908623,0.40451577,161.14021,-32.55915
655,1.0775542,189.0,-1.0395646,1.2950991,161.61267,29.369238
656,1.6507982,163.0,-0.7922312,2.3853657,162.27046,19.696459
658,0.1974039,209.0,-0.9450122,3.566586,162.69131,-8.914891
659,0.778075,168.0,-0.49562082,1.589655,162.95665,-23.663149
661,2.2592323,336.0,-0.32032073,1.664308,163.10791,20.495956
662,0.6039958,276.0,-1.0916574,1.2098418,163.20755,-1.1065732
663,0.54487026,121.0,-0.56666017,2.0672865,163.6288,-33.529266
664,0.3022249,429.0,-1.318796,0.47330752,163.97585,-7.690557
665,0.6823345,459.0,-0.56315994,1.2143688,163.99788,22.537601
666,0.69580144,741.0,-0.27181,0.25462937,164.03842,-27.20685
667,0.2071559,294.0,-0.9578228,1.6371229,164.08533,-48.480885
668,0.8164821,109.0,-0.66941863,0.78075254,164.2424,-23.853909
669,1.4861447,188.0,-0.37741444,1.1719319,164.31616,0.2004814
672,2.2447824,129.0,-0.88387734,0.44511035,165.04832,4.732961
673,1.2889171,508.0,-1.5469819,0.68850225,165.16833,-0.5040837
674,0.68875474,151.0,-0.9481816,1.4994844,165.1856,-24.373175
676,2.456531,131.0,-0.9256109,0.40093035,165.8252,-39.455357
677,0.46342808,125.0,-1.2245725,1.4423826,166.01334,-2.2472575
678,0.5025249,131.0,-1.0724586,0.51984197,166.03514,-33.8019
679,2.3751123,329.0,-0.9550367,1.1461724,166.35876,20.87083
680,1.8711395,111.0,-0.75520456,1.9530168,166.45058,-13.523223
682,2.7287602,431.0,-0.27849275,0.41315427,167.03448,14.593502
684,0.86609143,561.0,-0.095175914,0.84981406,167.4376,5.72472
686,0.63355654,310.0,-0.45420492,1.6692258,167.4637,6.983059
687,0.77686936,511.0,-1.7536919,0.9287791,167.58499,21.528011
688,0.16968244,264.0,-0.99148095,2.1761184,167.62964,-6.2776427
689,0.67393637,237.0,-0.87215656,0.32442495,167.80215,-40.88726
690,0.17963186,246.0,-0.60081136,1.2112927,168.04291,-7.865538
691,0.17217243,255.0,-1.091252,0.4298404,168.04391,-22.99193
692,0.19794501,404.0,-0.80410755,0.6482967,168.08504,-9.5732355
693,0.21710058,246.0,-0.7190141,0.6012139,168.09055,-16.545362
694,1.0355247,128.0,-0.6766172,0.7476933,168.19444,-32.022457
695,2.7896967,111.0,-0.29283556,2.1087089,168.20784,-21.97454
696,0.8816546,123.0,-1.2208198,0.25008017,168.86063,-76.25714
697,0.4541583,195.0,-1.0456604,0.99481285,168.89893,-22.464804
698,0.5354075,565.0,-0.81252736,1.0983458,169.07658,23.122766
699,2.4187686,528.0,-1.5089417,1.6323107,169.7203,20.851212
700,0.27323318,297.0,-0.5687974,2.3884997,169.78578,-28.745857
702,2.627302,394.0,-0.82473856,0.38161877,170.03795,-25.135563
703,0.7349399,140.0,-0.65966684,2.0483673,170.21156,-19.366816
704,0.49083596,446.0,-0.7365707,0.835689,170.36617,-6.004238
705,0.24270004,222.0,-0.6357897,1.4014752,170.6331,-75.75624
706,0.2866599,403.0,-0.83993125,1.0693717,170.66232,-28.73165
707,0.9455855,471.0,-0.9526521,0.91554654,170.81934,-14.740369
708,0.60480094,468.0,-1.986174,0.64007664,171.07881,29.454021
709,0.44014427,159.0,-0.48957056,3.5432673,171.08774,-4.3126264
710,1.915174,173.0,-0.51018184,1.5911981,171.1828,19.324259
714,0.69064885,118.0,-0.56695294,3.022845,171.72363,-23.021177
715,0.5236973,232.0,-0.65668476,1.2759106,172.89551,10.994972
716,0.4612836,389.0,-0.6371157,0.47936925,173.07747,-74.420876
717,5.1558156,146.0,-1.3978758,0.9640847,173.38066,-27.255987
718,2.6803126,229.0,-0.59007365,1.2766241,173.80507,-0.35625046
719,0.2709759,402.0,-0.37631676,0.7676289,174.13763,-78.350685
721,0.34191442,283.0,-0.29471838,2.9847941,174.53673,-17.53411
722,0.78710294,412.0,-1.0987203,0.8562258,174.77216,1.1720761
723,0.6124351,171.0,-0.7171959,0.9017845,175.22832,1.8683417
724,3.13213,109.0,-0.7526333,1.1795125,175.40028,18.533663
725,0.80350673,171.0,-0.82731557,1.4194084,175.88327,-23.138073
726,0.3472186,313.0,-1.1339325,0.9597774,176.1422,2.9053733
728,0.254572,397.0,-0.6655951,1.7375014,177.08043,-31.737247
729,1.0571218,194.0,-0.7131547,1.334163,177.13762,-26.527365
730,0.53766745,141.0,-0.59000474,1.2198007,177.32022,-30.258638
731,0.46418557,300.0,-1.708275,0.59206754,177.38684,26.138834
732,0.4803992,228.0,-1.1645936,1.0940064,177.5101,-40.82484
733,1.3252791,182.0,-0.952472,0.33243302,177.71559,4.980951
734,0.9441429,155.0,-1.0253808,1.249283,177.97194,-13.434805
735,0.7379074,178.0,-1.5950984,1.3822905,177.99721,-30.227768
736,9.753462,274.0,-0.5856872,0.52334845,178.59093,-35.09055
737,0.79004204,130.0,-0.9936801,1.4935441,179.6215,-37.736794
739,0.86737424,294.0,-1.0114057,1.6042151,179.93733,1.1998761
741,0.24332653,290.0,-0.56722873,2.6854048,180.53954,-29.85926
743,1.1366369,134.0,-0.77634776,0.3883879,180.71779,12.121655
744,0.9615661,832.0,-0.18397734,0.22829676,180.88902,-26.468988
745,1.18412,289.0,-1.0384715,0.54519856,181.01427,5.7893143
746,1.4919642,645.0,-0.39240575,0.17589544,181.11179,11.48576
747,0.3875466,543.0,-0.13738194,0.7528964,181.26263,-28.430897
748,0.466449,319.0,-0.9408963,1.3573749,182.00774,-17.422834
749,1.1427875,548.0,-0.46667358,0.7275662,182.2335,25.373398
750,0.75186956,113.0,-1.3099412,2.0648067,182.8033,-3.4087589
752,0.7310717,499.0,-1.6911858,1.5301827,183.75162,8.49059
753,2.515866,122.0,-0.40145272,3.5116856,183.81175,17.500841
755,0.95488644,363.0,-0.5516958,0.103728615,184.55257,-9.877002
756,0.7874116,245.0,-1.4057361,0.26736143,185.14864,-29.927273
757,0.9310808,418.0,-0.56404555,2.1996765,185.7855,10.486231
758,0.9725478,159.0,-1.5374067,0.1617629,185.78467,-34.670723
759,0.49540308,123.0,-0.8413443,2.053498,186.1802,-11.384053
760,0.5028565,199.0,-1.0609607,0.92178714,186.46402,-51.595074
761,0.64574796,116.0,-0.8766531,1.2866986,186.8436,-23.85554
762,0.55711687,168.0,-0.7130862,2.6561828,186.92474,-20.992605
763,1.8899624,132.0,-0.31362364,0.004633222,187.38576,17.839287
764,0.9594079,364.0,-1.2645576,0.51388633,187.39235,16.034071
765,1.1372169,448.0,-1.6762582,0.46614128,187.8849,-38.411636
766,0.8720582,352.0,-0.8267072,1.402197,188.53061,-36.56132
767,0.2493112,242.0,-1.3116738,0.36844602,188.5489,-27.541193
768,0.55415815,150.0,-0.5257958,1.4239148,188.5738,-52.576557
769,0.6195137,279.0,-0.6668136,1.524546,188.62233,-39.857124
770,1.291358,124.0,-0.8181442,0.41194087,189.35498,-5.4656487
771,2.4958625,130.0,-0.6939022,0.4051997,189.6328,-50.921993
772,0.4372248,387.0,-1.0323685,0.55368584,189.98087,-21.280222
773,3.3448653,129.0,-0.7074593,0.6612303,190.10759,-17.288652
774,1.2726234,120.0,-1.3328317,0.07255225,190.17947,-31.951332
775,0.793,147.0,-1.074297,1.0887275,190.1997,-7.7197385
776,1.2999396,148.0,-0.6512643,1.7932873,190.55608,-12.746755
777,0.7323436,193.0,-0.7899688,0.76491,191.05188,-8.099977
778,0.36020595,325.0,-1.6158646,1.1462438,191.0882,-74.352486
780,2.0470836,103.0,-0.9255362,0.50602883,191.66156,13.184702
781,9.258233,728.0,-0.16333127,0.28609797,192.09996,-19.987753
782,0.22204189,249.0,-0.6390009,1.7628682,192.205,-31.025743
783,1.138152,393.0,-0.9903284,0.6677171,192.27205,-23.405365
784,0.54355407,197.0,-0.46208778,1.2580721,192.64366,-16.291327
785,0.7221233,203.0,-1.5807605,0.35862333,192.85635,-50.42172
786,0.8369427,288.0,-0.90572906,0.72981405,192.9208,-75.51075
787,0.81309897,151.0,-0.4028922,2.464554,193.01408,-4.110053
788,1.1548831,142.0,-1.5802346,0.13883153,193.14719,17.228142
789,0.5735372,157.0,-0.94624496,0.58048934,193.27832,-30.310587
790,1.0300007,324.0,-0.35443375,1.1201017,193.65971,11.684342
791,0.9507455,613.0,-0.022909762,0.73678917,193.74678,8.996183
792,0.60175735,543.0,-0.2026272,0.5512507,194.04756,-21.734753
794,2.9115434,102.0,-0.8557655,1.6068568,194.31206,-8.617614
795,0.65822434,116.0,-0.8117269,2.030704,194.69531,-8.245697
796,0.22108428,325.0,-0.77899253,1.8252704,195.87877,-9.394794
797,1.595513,130.0,-0.358058,2.818677,196.1415,-19.546333
798,1.3653065,121.0,-0.9991122,0.6403099,196.87111,-33.42225
799,0.29440713,303.0,-0.9169919,0.52813584,197.03062,-19.977291
800,0.82428855,447.0,-0.48839033,2.111536,197.85188,16.977438
802,1.4445146,145.0,-0.3754686,2.7011735,197.9898,18.660074
804,0.42599213,314.0,-0.8489154,0.97579575,199.14415,-10.994417
805,0.70796067,199.0,-0.509302,1.1001264,199.60255,-10.24544
806,3.1856544,142.0,-0.67644453,2.0324743,199.7687,-6.933755
807,0.6424451,143.0,-1.1530844,1.5023957,200.6263,-75.77908
809,0.5260838,261.0,-0.63250214,0.65530324,201.05093,-32.593666
810,0.6383837,265.0,-1.1762456,0.22360161,202.4147,-3.7808578
811,0.49041364,279.0,-0.74461913,0.35708904,203.51903,-11.838241
812,0.4535481,478.0,-0.4745711,0.50313574,203.74173,-16.723925
813,0.4035591,238.0,-0.6812123,0.9925738,203.75082,-17.118261
814,0.5335244,370.0,-0.55981016,0.549384,203.98636,-5.195791
815,0.25837913,297.0,-0.243832,3.8935535,204.09671,-4.8598256
816,6.6874747,138.0,-0.7934585,1.3196094,204.40714,-18.194132
819,3.180836,119.0,-0.72663826,1.0049692,205.52736,-12.427369
820,2.4222608,534.0,-0.062124006,0.6726313,206.46472,-30.250872
821,0.6504729,545.0,-0.17236903,0.47148284,206.5667,-22.053297
822,0.39551094,221.0,-0.6442422,0.5405529,207.06528,-17.130306
823,0.56190944,299.0,-0.8537226,0.60870564,207.19751,-25.08582
824,0.37526459,457.0,-0.6369024,0.31596953,207.34857,-10.3076
828,3.7778516,550.0,-0.40818745,0.21797985,208.23595,11.118691
829,0.73463666,139.0,-0.64684033,2.22555,209.34317,2.4827805
830,3.9272194,336.0,-0.80734193,1.0119188,209.47491,0.7756809
831,0.42901254,323.0,-0.9535013,0.2641558,210.04597,-15.688274
832,0.33636793,251.0,-0.88001245,1.1648545,210.90036,-3.8319674
833,0.39346474,234.0,-0.63464344,1.0474365,211.20335,-7.718834
834,0.557051,294.0,-0.5825605,1.7359989,211.79799,-8.6579
835,0.39792132,304.0,-1.7202193,2.271956,212.14635,12.408379
836,0.54919636,188.0,-1.2380329,0.32094786,212.32712,11.08682
837,0.62453425,369.0,-1.3836128,0.31724235,212.49208,-34.66139
838,0.7476742,367.0,-1.1862566,0.77870953,212.83632,-11.003071
839,0.8269806,129.0,-0.5803015,2.4267163,212.9863,6.0842314
840,0.6198681,133.0,-0.3271615,1.6086487,213.31293,-3.2075536
841,4.9939585,103.0,-0.7607462,2.108218,213.39647,-20.343674
842,1.732253,100.0,-1.0716261,0.32711238,213.76683,-9.918075
843,1.1608762,679.0,-0.23939481,0.609708,213.95486,-7.135137
844,2.5159523,371.0,-0.9763732,1.393567,213.9967,13.340277
845,2.8096435,149.0,-0.9910194,1.6127331,214.3192,-27.302448
846,0.29049978,200.0,-1.0528817,1.1342701,214.53589,-11.346767
847,1.1116122,117.0,-0.4888578,1.6822857,214.68442,-26.365322
848,0.37790573,195.0,-0.69226617,1.5601441,214.98361,-5.735895
849,0.891023,135.0,-0.67254555,0.09153391,215.20654,4.4639916
850,2.3282623,108.0,-0.5162421,0.45896026,215.87692,11.997987
852,1.1669382,389.0,-1.1864256,1.0318853,217.18732,-42.35258
853,1.28587,774.0,-0.06551936,0.5915036,217.26707,2.861941
855,1.1220574,112.0,-0.4374755,0.06012571,217.44054,-21.951935
856,0.28205124,214.0,-0.6804617,0.9644977,218.63466,-3.9111433
857,1.5671339,105.0,-0.78925353,0.18871798,218.81172,-27.233994
859,0.69349116,264.0,-0.79769766,1.2235866,221.0207,20.589783
860,3.1695564,160.0,-0.45131955,2.6,222.06288,-16.340218
861,1.0231335,133.0,-0.43610197,2.2252514,222.24324,2.8374064
862,0.2499823,294.0,-1.3915862,0.4308535,223.34387,-17.28084
863,1.5516982,350.0,-0.5793715,0.6274245,223.5098,-34.01454
864,0.99234724,485.0,-1.792633,1.2793118,223.74898,-24.9695
865,3.7787373,251.0,-0.784948,1.3417504,224.27664,-36.083305
866,5.4401,370.0,-0.8311051,1.0622435,225.39442,-39.310596
867,1.058251,303.0,-1.5521907,0.49756816,225.41116,13.413495
868,0.7128358,157.0,-1.329308,0.69751513,225.72742,-32.541374
870,0.3105449,206.0,-0.9322018,1.0375748,226.27896,2.4925566
872,3.7163618,122.0,-0.8053234,2.4733167,226.58298,9.582356
873,2.859865,128.0,-0.9029794,2.633866,227.31447,14.104342
874,2.086675,111.0,-0.4070739,1.1845493,227.67393,-24.865961
875,1.8593172,291.0,-0.066476256,3.8504195,228.41661,23.64085
876,0.22541259,295.0,-0.7092776,2.317126,228.41464,-11.907646
877,0.6348646,210.0,-1.5036865,0.74626154,228.48099,-18.018734
880,0.36956355,517.0,-1.7433074,0.9253106,229.31546,-5.451025
882,2.0448143,610.0,-0.6636251,0.37923005,229.6343,11.313252
883,0.9081451,291.0,-0.99850947,0.41096738,229.64993,10.536336
884,0.7253588,401.0,-0.82990706,0.67647165,229.93782,-11.862384
886,1.6361283,138.0,-1.3420717,0.12711136,230.44261,-19.341381
887,1.2314433,117.0,-0.76520556,2.541839,231.20738,-35.84504
888,4.9406443,107.0,-0.8467561,0.6981985,231.30183,-19.04734
890,5.510294,112.0,-0.4506086,3.1970341,231.45383,3.1403267
891,1.7432821,134.0,-0.91663325,1.5613637,231.50568,7.2569766
892,0.43277612,348.0,-0.39824563,1.2180642,231.67262,-10.848369
893,0.58576626,421.0,-0.66029924,1.1853848,232.51309,-16.802479
894,1.59228,123.0,-0.44572935,2.5667436,232.61848,5.9204025
895,0.5623593,400.0,-1.154138,1.2982087,233.20839,22.692574
896,0.42231596,395.0,-0.5665911,1.719563,233.48392,6.8822565
897,0.21958047,240.0,-0.3938567,1.4341898,234.62337,-19.855368
898,0.7677764,133.0,-0.79371196,2.0928435,234.89188,-75.78466
899,0.88583547,190.0,-1.0747596,1.6796094,235.12848,-9.679265
901,1.1351047,402.0,-1.0407991,0.7405521,235.91264,-27.548046
902,1.8845463,272.0,-0.56025213,1.730041,236.30817,-5.4806786
903,1.1676152,684.0,-0.3172941,0.3738543,236.35722,0.41305184
904,0.96424866,586.0,-0.029510649,0.8443825,236.42854,-40.98621
905,2.1486752,132.0,-0.6710994,1.4318321,237.03712,8.144183
906,0.7448197,141.0,-0.7892157,3.2438107,237.2194,13.349718
907,0.8999318,403.0,-1.6358633,0.7233012,238.34259,-68.9746
908,2.9307904,138.0,-0.55557954,0.77333313,239.05824,-6.3758845
909,0.8904954,256.0,-1.1904982,0.5214726,239.41066,10.209623
910,1.7639331,188.0,-1.3663638,1.2080985,239.50223,-11.706424
